goal,dimension,region_id,score,year
ECO,resilience,9,52.23,2008
ECO,resilience,10,54.37,2008
ECO,resilience,11,64.55,2008
ECO,resilience,0,54.83,2008
FIS,resilience,1,NA,2008
FIS,resilience,2,NA,2008
FIS,resilience,3,NA,2008
FIS,resilience,4,NA,2008
FIS,resilience,5,69.7,2008
FIS,resilience,6,64.38,2008
FIS,resilience,7,65.23,2008
FIS,resilience,8,63.48,2008
FIS,resilience,9,52.23,2008
FIS,resilience,10,54.37,2008
FIS,resilience,11,64.55,2008
FIS,resilience,0,54.83,2008
FP,resilience,1,NA,2008
FP,resilience,2,NA,2008
FP,resilience,3,NA,2008
FP,resilience,4,NA,2008
FP,resilience,5,NA,2008
FP,resilience,6,NA,2008
FP,resilience,7,NA,2008
FP,resilience,8,NA,2008
FP,resilience,9,NA,2008
FP,resilience,10,NA,2008
FP,resilience,11,NA,2008
FP,resilience,0,NA,2008
HAB,resilience,1,NA,2008
HAB,resilience,2,NA,2008
HAB,resilience,3,NA,2008
HAB,resilience,4,NA,2008
HAB,resilience,5,69.7,2008
HAB,resilience,6,64.38,2008
HAB,resilience,7,65.23,2008
HAB,resilience,8,63.48,2008
HAB,resilience,9,52.23,2008
HAB,resilience,10,54.37,2008
HAB,resilience,11,64.55,2008
HAB,resilience,0,54.83,2008
HS,resilience,1,NA,2008
HS,resilience,2,NA,2008
HS,resilience,3,NA,2008
HS,resilience,4,NA,2008
HS,resilience,5,69.7,2008
HS,resilience,6,64.38,2008
HS,resilience,7,65.23,2008
HS,resilience,8,63.48,2008
HS,resilience,9,52.23,2008
HS,resilience,10,54.37,2008
HS,resilience,11,64.55,2008
HS,resilience,0,54.83,2008
ICO,resilience,1,NA,2008
ICO,resilience,2,NA,2008
ICO,resilience,3,NA,2008
ICO,resilience,4,NA,2008
ICO,resilience,5,69.7,2008
ICO,resilience,6,64.38,2008
ICO,resilience,7,65.23,2008
ICO,resilience,8,63.48,2008
ICO,resilience,9,52.23,2008
ICO,resilience,10,54.37,2008
ICO,resilience,11,64.55,2008
ICO,resilience,0,54.83,2008
LE,resilience,1,NA,2008
LE,resilience,2,NA,2008
LE,resilience,3,NA,2008
LE,resilience,4,NA,2008
LE,resilience,5,NA,2008
LE,resilience,6,NA,2008
LE,resilience,7,NA,2008
LE,resilience,8,NA,2008
LE,resilience,9,NA,2008
LE,resilience,10,NA,2008
LE,resilience,11,NA,2008
LE,resilience,0,NA,2008
LIV,resilience,1,NA,2008
LIV,resilience,2,NA,2008
LIV,resilience,3,NA,2008
LIV,resilience,4,NA,2008
LIV,resilience,5,69.7,2008
LIV,resilience,6,64.38,2008
LIV,resilience,7,65.23,2008
LIV,resilience,8,63.48,2008
LIV,resilience,9,52.23,2008
LIV,resilience,10,54.37,2008
LIV,resilience,11,64.55,2008
LIV,resilience,0,54.83,2008
LSP,resilience,1,NA,2008
LSP,resilience,2,NA,2008
LSP,resilience,3,NA,2008
LSP,resilience,4,NA,2008
LSP,resilience,5,69.7,2008
LSP,resilience,6,64.38,2008
LSP,resilience,7,65.23,2008
LSP,resilience,8,63.48,2008
LSP,resilience,9,52.23,2008
LSP,resilience,10,54.37,2008
LSP,resilience,11,64.55,2008
LSP,resilience,0,54.83,2008
MAR,resilience,1,NA,2008
MAR,resilience,2,NA,2008
MAR,resilience,3,NA,2008
MAR,resilience,4,NA,2008
MAR,resilience,5,69.7,2008
MAR,resilience,6,64.38,2008
MAR,resilience,7,65.23,2008
MAR,resilience,8,63.48,2008
MAR,resilience,9,52.23,2008
MAR,resilience,10,54.37,2008
MAR,resilience,11,64.55,2008
MAR,resilience,0,54.83,2008
RAO,resilience,1,NA,2008
RAO,resilience,2,NA,2008
RAO,resilience,3,NA,2008
RAO,resilience,4,NA,2008
RAO,resilience,5,69.7,2008
RAO,resilience,6,64.38,2008
RAO,resilience,7,65.23,2008
RAO,resilience,8,63.48,2008
RAO,resilience,9,52.23,2008
RAO,resilience,10,54.37,2008
RAO,resilience,11,64.55,2008
RAO,resilience,0,54.83,2008
SP,resilience,1,NA,2008
SP,resilience,2,NA,2008
SP,resilience,3,NA,2008
SP,resilience,4,NA,2008
SP,resilience,5,NA,2008
SP,resilience,6,NA,2008
SP,resilience,7,NA,2008
SP,resilience,8,NA,2008
SP,resilience,9,NA,2008
SP,resilience,10,NA,2008
SP,resilience,11,NA,2008
SP,resilience,0,NA,2008
SPFIS,resilience,1,NA,2008
SPFIS,resilience,2,NA,2008
SPFIS,resilience,3,NA,2008
SPFIS,resilience,4,NA,2008
SPFIS,resilience,5,69.7,2008
SPFIS,resilience,6,64.38,2008
SPFIS,resilience,7,65.23,2008
SPFIS,resilience,8,63.48,2008
SPFIS,resilience,9,52.23,2008
SPFIS,resilience,10,54.37,2008
SPFIS,resilience,11,64.55,2008
SPFIS,resilience,0,54.83,2008
SPP,resilience,1,NA,2008
SPP,resilience,2,NA,2008
SPP,resilience,3,NA,2008
SPP,resilience,4,NA,2008
SPP,resilience,5,69.7,2008
SPP,resilience,6,64.38,2008
SPP,resilience,7,65.23,2008
SPP,resilience,8,63.48,2008
SPP,resilience,9,52.23,2008
SPP,resilience,10,54.37,2008
SPP,resilience,11,64.55,2008
SPP,resilience,0,54.83,2008
TR,resilience,1,NA,2008
TR,resilience,2,NA,2008
TR,resilience,3,NA,2008
TR,resilience,4,NA,2008
TR,resilience,5,69.7,2008
TR,resilience,6,64.38,2008
TR,resilience,7,65.23,2008
TR,resilience,8,63.48,2008
TR,resilience,9,52.23,2008
TR,resilience,10,54.37,2008
TR,resilience,11,64.55,2008
TR,resilience,0,54.83,2008
NA,resilience,1,NA,2008
NA,resilience,2,NA,2008
NA,resilience,3,NA,2008
NA,resilience,4,NA,2008
BD,resilience,1,NA,2009
BD,resilience,2,NA,2009
BD,resilience,3,NA,2009
BD,resilience,4,NA,2009
BD,resilience,5,NA,2009
BD,resilience,6,NA,2009
BD,resilience,7,NA,2009
BD,resilience,8,NA,2009
BD,resilience,9,NA,2009
BD,resilience,10,NA,2009
BD,resilience,11,NA,2009
BD,resilience,0,NA,2009
CW,resilience,1,NA,2009
CW,resilience,2,NA,2009
CW,resilience,3,NA,2009
CW,resilience,4,NA,2009
CW,resilience,5,NA,2009
CW,resilience,6,NA,2009
CW,resilience,7,NA,2009
CW,resilience,8,NA,2009
CW,resilience,9,NA,2009
CW,resilience,10,NA,2009
CW,resilience,11,NA,2009
CW,resilience,0,NA,2009
ECO,resilience,1,NA,2009
ECO,resilience,2,NA,2009
ECO,resilience,3,NA,2009
ECO,resilience,4,NA,2009
ECO,resilience,5,68.82,2009
ECO,resilience,6,58.5,2009
ECO,resilience,7,72.51,2009
