"","year","rgn_name","rgn_id","score"
"123",2010,"Mid-Atlantic Bight","4",NA
"124",2011,"Mid-Atlantic Bight","4",NA
"125",2012,"Mid-Atlantic Bight","4",NA
"126",2013,"Mid-Atlantic Bight","4",NA
"127",2014,"Mid-Atlantic Bight","4",NA
"128",2015,"Mid-Atlantic Bight","4",NA
"129",2016,"Mid-Atlantic Bight","4",NA
"130",2017,"Mid-Atlantic Bight","4",NA
"131",2005,"Offshore","1",NA
"132",2006,"Offshore","1",NA
"133",2007,"Offshore","1",NA
"134",2008,"Offshore","1",NA
"135",2009,"Offshore","1",NA
"136",2010,"Offshore","1",NA
"137",2011,"Offshore","1",NA
"138",2012,"Offshore","1",NA
"139",2013,"Offshore","1",NA
"140",2014,"Offshore","1",NA
"141",2015,"Offshore","1",NA
"142",2016,"Offshore","1",NA
"143",2017,"Offshore","1",NA
